stock,yr,ct,res
dorado,1988,618,High
dorado,1989,399,High
dorado,1990,355,High
dorado,1991,341,High
dorado,1992,3992,High
dorado,1993,3084,High
dorado,1994,3325,High
dorado,1995,6598,High
dorado,1996,1558,High
dorado,1997,4648,High
dorado,1998,21104,High
dorado,1999,2084,High
dorado,2000,11159,High
dorado,2001,28025,High
dorado,2002,29787,High
dorado,2003,35651,High
dorado,2004,31456,High
dorado,2005,37078,High
dorado,2006,33755,High
dorado,2007,35333,High
dorado,2008,49473,High
dorado,2009,57153,High
dorado,2010,53359,High
dorado,2011,43688,High
dorado,2012,58961,High
dorado,2013,55830,High
dorado,2014,50000,High
